,document_no,start,end,label,drug,rating,review,sentence
388,118,15,27,bearable side effect,Adapalene,2,I have been using the OTC differin since maybe Feb It s been so long Maybe about 3 4 months Some spots like around my nose and forehead would get clear for like a day but then I keep having these massive breakouts Really huge cystic acne on my forehead and the worse around my chin and jawline It is much worse than when I started using this medication I have always had hormonal acne I m 34 now In teen college years you name it I used it except accutane I had clear skin for about 8 months of my life I was seeing a dermatologist and was on spiro and a retinoid I moved states and trying to avoid the costly Dr visits but I give up nothing OTC seems to help After 3 4 months and now tons of scarring from it this is back like college,Maybe about 3 4 months Some spots like around my nose and forehead
389,118,36,42,unexpected side effect,Adapalene,2,I have been using the OTC differin since maybe Feb It s been so long Maybe about 3 4 months Some spots like around my nose and forehead would get clear for like a day but then I keep having these massive breakouts Really huge cystic acne on my forehead and the worse around my chin and jawline It is much worse than when I started using this medication I have always had hormonal acne I m 34 now In teen college years you name it I used it except accutane I had clear skin for about 8 months of my life I was seeing a dermatologist and was on spiro and a retinoid I moved states and trying to avoid the costly Dr visits but I give up nothing OTC seems to help After 3 4 months and now tons of scarring from it this is back like college,then I keep having these massive breakouts
390,118,43,57,bad effect,Adapalene,2,I have been using the OTC differin since maybe Feb It s been so long Maybe about 3 4 months Some spots like around my nose and forehead would get clear for like a day but then I keep having these massive breakouts Really huge cystic acne on my forehead and the worse around my chin and jawline It is much worse than when I started using this medication I have always had hormonal acne I m 34 now In teen college years you name it I used it except accutane I had clear skin for about 8 months of my life I was seeing a dermatologist and was on spiro and a retinoid I moved states and trying to avoid the costly Dr visits but I give up nothing OTC seems to help After 3 4 months and now tons of scarring from it this is back like college,Really huge cystic acne on my forehead and the worse around my chin and jawline
391,118,60,68,made illness worse,Adapalene,2,I have been using the OTC differin since maybe Feb It s been so long Maybe about 3 4 months Some spots like around my nose and forehead would get clear for like a day but then I keep having these massive breakouts Really huge cystic acne on my forehead and the worse around my chin and jawline It is much worse than when I started using this medication I have always had hormonal acne I m 34 now In teen college years you name it I used it except accutane I had clear skin for about 8 months of my life I was seeing a dermatologist and was on spiro and a retinoid I moved states and trying to avoid the costly Dr visits but I give up nothing OTC seems to help After 3 4 months and now tons of scarring from it this is back like college,much worse than when I started using this medication
392,119,18,22,bad effect,Benzoyl peroxide / clindamycin,2,So I used this for four night As per dosage I used a super small amount 3rd application my face burned really bad Next morning I woke up with a rash on my cheeks 4th night I avoided the irritated area but woke up the next day with a full face of eczema I d caution you if you have eczema and your doctor still prescribes this as mine did be careful Now I have a full face of steroid cream and my acne is still there It did seem to be making some effect before the whole huge eczema outbreak,my face burned really bad
393,119,26,35,bad effect,Benzoyl peroxide / clindamycin,2,So I used this for four night As per dosage I used a super small amount 3rd application my face burned really bad Next morning I woke up with a rash on my cheeks 4th night I avoided the irritated area but woke up the next day with a full face of eczema I d caution you if you have eczema and your doctor still prescribes this as mine did be careful Now I have a full face of steroid cream and my acne is still there It did seem to be making some effect before the whole huge eczema outbreak,woke up with a rash on my cheeks 4th night
394,119,49,52,bad effect,Benzoyl peroxide / clindamycin,2,So I used this for four night As per dosage I used a super small amount 3rd application my face burned really bad Next morning I woke up with a rash on my cheeks 4th night I avoided the irritated area but woke up the next day with a full face of eczema I d caution you if you have eczema and your doctor still prescribes this as mine did be careful Now I have a full face of steroid cream and my acne is still there It did seem to be making some effect before the whole huge eczema outbreak,full face of eczema
395,119,87,94,some benefit,Benzoyl peroxide / clindamycin,2,So I used this for four night As per dosage I used a super small amount 3rd application my face burned really bad Next morning I woke up with a rash on my cheeks 4th night I avoided the irritated area but woke up the next day with a full face of eczema I d caution you if you have eczema and your doctor still prescribes this as mine did be careful Now I have a full face of steroid cream and my acne is still there It did seem to be making some effect before the whole huge eczema outbreak,It did seem to be making some effect
396,120,0,3,worked originally,Acanya,2,Helped in the beginning but acne came back with a vengence in a month or so I kept trying it along with the entire protocol which did not help at all,Helped in the beginning
397,120,5,10,worked originally,Acanya,2,Helped in the beginning but acne came back with a vengence in a month or so I kept trying it along with the entire protocol which did not help at all,acne came back with a vengence
398,120,26,30,drug not doing job,Acanya,2,Helped in the beginning but acne came back with a vengence in a month or so I kept trying it along with the entire protocol which did not help at all,did not help at all
399,121,10,15,made illness worse,Adapalene / benzoyl peroxide,2,I have been using epiduo now for 6 weeks and my skin has never been worse It is five times worse than it was when I started using epiduo and it keeps getting worse everyday,my skin has never been worse
400,121,18,26,made illness worse,Adapalene / benzoyl peroxide,2,I have been using epiduo now for 6 weeks and my skin has never been worse It is five times worse than it was when I started using epiduo and it keeps getting worse everyday,five times worse than it was when I started
401,122,80,87,bearable side effect,Accutane,2,I started getting spots when I was about 12 and it was pretty bad acne by around 15 I went on the pill and probably every type of antibiotic which each worked but only for a limited time At 23 I realised the only thing left was accutane NHS was slow so I went private 1 appointment 120 and the dermatologist prescribed me 4 months of 40 mg day I only weigh around 100 pounds Best thing I ever did Only side effects I noticed were dry lips I recommend aquaphor and dry inside of my nose 100 worth it and my skin is amazing and spot free now I ve just come off the medication so fingers crossed it lasts a long time Very happy I definitely recommend,Only side effects I noticed were dry lips
402,122,101,108,drug worked,Accutane,2,I started getting spots when I was about 12 and it was pretty bad acne by around 15 I went on the pill and probably every type of antibiotic which each worked but only for a limited time At 23 I realised the only thing left was accutane NHS was slow so I went private 1 appointment 120 and the dermatologist prescribed me 4 months of 40 mg day I only weigh around 100 pounds Best thing I ever did Only side effects I noticed were dry lips I recommend aquaphor and dry inside of my nose 100 worth it and my skin is amazing and spot free now I ve just come off the medication so fingers crossed it lasts a long time Very happy I definitely recommend,my skin is amazing and spot free now
403,122,126,128,good experience,Accutane,2,I started getting spots when I was about 12 and it was pretty bad acne by around 15 I went on the pill and probably every type of antibiotic which each worked but only for a limited time At 23 I realised the only thing left was accutane NHS was slow so I went private 1 appointment 120 and the dermatologist prescribed me 4 months of 40 mg day I only weigh around 100 pounds Best thing I ever did Only side effects I noticed were dry lips I recommend aquaphor and dry inside of my nose 100 worth it and my skin is amazing and spot free now I ve just come off the medication so fingers crossed it lasts a long time Very happy I definitely recommend,I definitely recommend
404,123,2,4,worked originally,Doxycycline,2,It was fine at first but about halfway through the month it gave me intense nausea so bad I couldn t go to work or even stand up without throwing up dry heaving It wasn t even great for my acne It stopped a little bit of my acne bad flareups but I still had constant pimples all over my chin At pretty much the same rate as I d had before,fine at first
405,123,12,30,unbearable effect,Doxycycline,2,It was fine at first but about halfway through the month it gave me intense nausea so bad I couldn t go to work or even stand up without throwing up dry heaving It wasn t even great for my acne It stopped a little bit of my acne bad flareups but I still had constant pimples all over my chin At pretty much the same rate as I d had before,gave me intense nausea so bad I couldn t go to work or even stand up without throwing up
406,123,33,40,unhappy with results,Doxycycline,2,It was fine at first but about halfway through the month it gave me intense nausea so bad I couldn t go to work or even stand up without throwing up dry heaving It wasn t even great for my acne It stopped a little bit of my acne bad flareups but I still had constant pimples all over my chin At pretty much the same rate as I d had before,It wasn t even great for my acne
407,123,42,48,some benefit,Doxycycline,2,It was fine at first but about halfway through the month it gave me intense nausea so bad I couldn t go to work or even stand up without throwing up dry heaving It wasn t even great for my acne It stopped a little bit of my acne bad flareups but I still had constant pimples all over my chin At pretty much the same rate as I d had before,stopped a little bit of my acne
408,123,61,71,no change,Doxycycline,2,It was fine at first but about halfway through the month it gave me intense nausea so bad I couldn t go to work or even stand up without throwing up dry heaving It wasn t even great for my acne It stopped a little bit of my acne bad flareups but I still had constant pimples all over my chin At pretty much the same rate as I d had before,At pretty much the same rate as I d had before
409,124,18,32,unhappy with results,Aczone,2,I ve fought cystic acne since I was 11yrs old My face back chest neck and inner thighs This medicine was no more helpful than the million other topical meds I ve used The commercials I see for acne products just kill me on T V They show somone with one little pimple usually crying about how devastated they are about their skin Show someone like me and others with REAL problem acne I m 50 years old and still fighting it I have taken every oral med on the market used every soap and cream known to man with minimal results,This medicine was no more helpful than the million other topical meds I ve used
410,125,9,15,made illness worse,Tri-Sprintec,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,this pill made it a lot worse
411,125,64,74,bad effect,Tri-Sprintec,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,It is redder more painful and a lot deeper than before
412,125,78,85,bad effect,Tri-Sprintec,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,spread all over my face and become splotchy
413,125,88,99,unexpected side effect,Tri-Sprintec,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,get a lot of fevers and awful cramps all throughout the month
414,125,138,146,negative experience,Tri-Sprintec,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,Don t let my experience sway you too much
415,125,149,153,drug not doing job,Tri-Sprintec,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,it just dosen t work
416,126,2,8,no change,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,it Did not help my skin whatsoever
417,126,11,15,stopped using,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,had to get off it
418,126,19,23,bad effect,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,due to bad side effects
419,126,25,30,bad effect,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,made my skin burn extremely badly
420,126,39,42,unexpected side effect,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,made my eyes water
421,126,61,70,bad knock on effect,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,stings to put moisturiser foundation or anything on my skin
422,126,77,80,negative experience,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,Would definitely not recommend
423,126,90,98,unbearable effect,Epiduo,2,I hated it Did not help my skin whatsoever and I had to get off it within a week due to bad side effects Epiduo made my skin burn extremely badly whenever I put it on my face it made my eyes water and almost had me in tears As well as that it made my skin super sensitive it now stings to put moisturiser foundation or anything on my skin My skin went super red flakey Would definitely not recommend as I m still experiencing the redness sensitivity and extreme dryness after being off Epiduo for 4 days,extreme dryness after being off Epiduo for 4 days
424,127,10,17,made illness worse,Adapalene / benzoyl peroxide,2,Been using it for 2 weeks and at this point skin is the worst it s ever been Hopefully it gets better,skin is the worst it s ever been
425,127,18,21,hope effects gets better,Adapalene / benzoyl peroxide,2,Been using it for 2 weeks and at this point skin is the worst it s ever been Hopefully it gets better,Hopefully it gets better
426,128,0,4,worked originally,Epiduo,2,At first it worked okay then my acne was worse than when I started and it even burnt to apply the Epiduo causing great pain it is not right for everyone,At first it worked okay
427,128,7,13,made illness worse,Epiduo,2,At first it worked okay then my acne was worse than when I started and it even burnt to apply the Epiduo causing great pain it is not right for everyone,acne was worse than when I started
428,128,17,24,bad effect,Epiduo,2,At first it worked okay then my acne was worse than when I started and it even burnt to apply the Epiduo causing great pain it is not right for everyone,burnt to apply the Epiduo causing great pain
429,128,25,30,negative experience,Epiduo,2,At first it worked okay then my acne was worse than when I started and it even burnt to apply the Epiduo causing great pain it is not right for everyone,it is not right for everyone
430,129,23,27,worked originally,Acanya,2,I have been using Acanya for a while now because of my mild acne I stopped using it for a few weeks because my skin was really clear Now I ve been back on it my skin is horrid every time I put it on I get burns on my face almost like sun burns It worked really well in the beginning but now all it s doing is burning my skin and it s terrible,my skin was really clear
431,129,35,38,bad effect,Acanya,2,I have been using Acanya for a while now because of my mild acne I stopped using it for a few weeks because my skin was really clear Now I ve been back on it my skin is horrid every time I put it on I get burns on my face almost like sun burns It worked really well in the beginning but now all it s doing is burning my skin and it s terrible,my skin is horrid
432,129,41,54,unexpected side effect,Acanya,2,I have been using Acanya for a while now because of my mild acne I stopped using it for a few weeks because my skin was really clear Now I ve been back on it my skin is horrid every time I put it on I get burns on my face almost like sun burns It worked really well in the beginning but now all it s doing is burning my skin and it s terrible,I put it on I get burns on my face almost like sun burns
433,130,10,18,stopped using,Minocycline,2,I started taking this less than a week ago but will be stopping it because of the side effects It has helped my acne but the side effects don t make it worth it I constantly feel nauseous have headaches feel feverish and am unusually exhausted,will be stopping it because of the side effects
434,130,21,23,drug worked,Minocycline,2,I started taking this less than a week ago but will be stopping it because of the side effects It has helped my acne but the side effects don t make it worth it I constantly feel nauseous have headaches feel feverish and am unusually exhausted,helped my acne
435,130,26,33,unbearable effect,Minocycline,2,I started taking this less than a week ago but will be stopping it because of the side effects It has helped my acne but the side effects don t make it worth it I constantly feel nauseous have headaches feel feverish and am unusually exhausted,side effects don t make it worth it
436,130,35,45,bad effect,Minocycline,2,I started taking this less than a week ago but will be stopping it because of the side effects It has helped my acne but the side effects don t make it worth it I constantly feel nauseous have headaches feel feverish and am unusually exhausted,constantly feel nauseous have headaches feel feverish and am unusually exhausted
437,131,12,20,no change,Adapalene / benzoyl peroxide,2,I started this medicine when I was fairly young with moderate acne I remember it doing absolutely nothing for m skin It just made it kind of red,I remember it doing absolutely nothing for m skin
438,131,22,27,bad effect,Adapalene / benzoyl peroxide,2,I started this medicine when I was fairly young with moderate acne I remember it doing absolutely nothing for m skin It just made it kind of red,just made it kind of red
439,132,0,7,drug not doing job,Doryx,2,Did absolutely nothing for my son s acne,Did absolutely nothing for my son s acne
440,133,23,27,worked originally,Benzoyl peroxide / clindamycin,2,I have been using Acanya for a while now because of my mild acne I stopped using it for a few weeks because my skin was really clear Now I ve been back on it my skin is horrid every time I put it on I get burns on my face almost like sun burns It worked really well in the beginning but now all it s doing is burning my skin and it s terrible,my skin was really clear
441,133,35,54,bad effect,Benzoyl peroxide / clindamycin,2,I have been using Acanya for a while now because of my mild acne I stopped using it for a few weeks because my skin was really clear Now I ve been back on it my skin is horrid every time I put it on I get burns on my face almost like sun burns It worked really well in the beginning but now all it s doing is burning my skin and it s terrible,my skin is horrid every time I put it on I get burns on my face almost like sun burns
442,134,8,15,made illness worse,Ethinyl estradiol / norgestimate,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,but this pill made it a lot worse
443,134,64,85,bad effect,Ethinyl estradiol / norgestimate,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy
444,134,88,92,bad effect,Ethinyl estradiol / norgestimate,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,get a lot of fevers
445,134,94,95,bad effect,Ethinyl estradiol / norgestimate,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,awful cramps
446,134,138,148,negative experience,Ethinyl estradiol / norgestimate,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,Don t let my experience sway you too much but unfortunately
447,134,151,153,drug not doing job,Ethinyl estradiol / norgestimate,2,I have cystic acne which isn t awful but this pill made it a lot worse I tried a lot of different acne products and treatments and none worked so I ve tried 2 birth control pills to help this being my second try I followed my doctors advice to give it at least 6 months and it has only made my acne worse It is redder more painful and a lot deeper than before and it has spread all over my face and become splotchy I also get a lot of fevers and awful cramps all throughout the month I also use birth control pills to stop my periods The first day I went on it I got my period it was awful and lasted 14 days Now I keep getting them so it s not working Don t let my experience sway you too much but unfortunately it just dosen t work,dosen t work
448,135,62,70,initially bad effects,Epiduo,2,I have been struggling with acne for 12 years and have kept it under control after switching acne stuff every year once my skin get use to it Now that I am 28 I am experiencing a different type of acne They are little baby dots all over my forehead and I have oily skin So I tried Epiduo a month ago It broke me out the first couple of days and then it went back to the original state It also broke me out around my jaw line which I didn t have this issue before It cleared up a little bit around my eyebrows and stuff but not much I am very disappointed and this is not the route for me It didn t burn for me or dry me out except a dime size area below my lip ring I am making an appointment to try something stronger,It broke me out the first couple of days
449,135,71,79,no change,Epiduo,2,I have been struggling with acne for 12 years and have kept it under control after switching acne stuff every year once my skin get use to it Now that I am 28 I am experiencing a different type of acne They are little baby dots all over my forehead and I have oily skin So I tried Epiduo a month ago It broke me out the first couple of days and then it went back to the original state It also broke me out around my jaw line which I didn t have this issue before It cleared up a little bit around my eyebrows and stuff but not much I am very disappointed and this is not the route for me It didn t burn for me or dry me out except a dime size area below my lip ring I am making an appointment to try something stronger,and then it went back to the original state
450,135,81,95,unexpected side effect,Epiduo,2,I have been struggling with acne for 12 years and have kept it under control after switching acne stuff every year once my skin get use to it Now that I am 28 I am experiencing a different type of acne They are little baby dots all over my forehead and I have oily skin So I tried Epiduo a month ago It broke me out the first couple of days and then it went back to the original state It also broke me out around my jaw line which I didn t have this issue before It cleared up a little bit around my eyebrows and stuff but not much I am very disappointed and this is not the route for me It didn t burn for me or dry me out except a dime size area below my lip ring I am making an appointment to try something stronger,also broke me out around my jaw line which I didn t have this issue
451,135,111,122,negative experience,Epiduo,2,I have been struggling with acne for 12 years and have kept it under control after switching acne stuff every year once my skin get use to it Now that I am 28 I am experiencing a different type of acne They are little baby dots all over my forehead and I have oily skin So I tried Epiduo a month ago It broke me out the first couple of days and then it went back to the original state It also broke me out around my jaw line which I didn t have this issue before It cleared up a little bit around my eyebrows and stuff but not much I am very disappointed and this is not the route for me It didn t burn for me or dry me out except a dime size area below my lip ring I am making an appointment to try something stronger,I am very disappointed and this is not the route for me
452,135,123,140,bearable side effect,Epiduo,2,I have been struggling with acne for 12 years and have kept it under control after switching acne stuff every year once my skin get use to it Now that I am 28 I am experiencing a different type of acne They are little baby dots all over my forehead and I have oily skin So I tried Epiduo a month ago It broke me out the first couple of days and then it went back to the original state It also broke me out around my jaw line which I didn t have this issue before It cleared up a little bit around my eyebrows and stuff but not much I am very disappointed and this is not the route for me It didn t burn for me or dry me out except a dime size area below my lip ring I am making an appointment to try something stronger,It didn t burn for me or dry me out except a dime size area below my lip
453,135,142,150,stopped using,Epiduo,2,I have been struggling with acne for 12 years and have kept it under control after switching acne stuff every year once my skin get use to it Now that I am 28 I am experiencing a different type of acne They are little baby dots all over my forehead and I have oily skin So I tried Epiduo a month ago It broke me out the first couple of days and then it went back to the original state It also broke me out around my jaw line which I didn t have this issue before It cleared up a little bit around my eyebrows and stuff but not much I am very disappointed and this is not the route for me It didn t burn for me or dry me out except a dime size area below my lip ring I am making an appointment to try something stronger,I am making an appointment to try something stronger
454,136,14,20,some benefit,TriNessa,2,Not sexually active so I can t tell how it helps in pregnancy prevention It did stop spotting in between periods but it destroyed my skin Particularly along my jawline jawline acne is typically hormonal my skin broke out the entire duration of using Trinessa It was the hard painful acne that left behind dark marks when they had run their course I stayed on the pill for three months to make sure it was a the pill causing the acne and it was During the placebo pill week when you get your period my skin would clear up Until I had to start the pill again that is Beyond that my emotions were so out of whack on this pill that I was constantly on the verge of tears when I am a silly easygoing girl who is extremely positive,It did stop spotting in between periods
455,136,23,25,bad effect,TriNessa,2,Not sexually active so I can t tell how it helps in pregnancy prevention It did stop spotting in between periods but it destroyed my skin Particularly along my jawline jawline acne is typically hormonal my skin broke out the entire duration of using Trinessa It was the hard painful acne that left behind dark marks when they had run their course I stayed on the pill for three months to make sure it was a the pill causing the acne and it was During the placebo pill week when you get your period my skin would clear up Until I had to start the pill again that is Beyond that my emotions were so out of whack on this pill that I was constantly on the verge of tears when I am a silly easygoing girl who is extremely positive,destroyed my skin
456,136,45,62,bad effect,TriNessa,2,Not sexually active so I can t tell how it helps in pregnancy prevention It did stop spotting in between periods but it destroyed my skin Particularly along my jawline jawline acne is typically hormonal my skin broke out the entire duration of using Trinessa It was the hard painful acne that left behind dark marks when they had run their course I stayed on the pill for three months to make sure it was a the pill causing the acne and it was During the placebo pill week when you get your period my skin would clear up Until I had to start the pill again that is Beyond that my emotions were so out of whack on this pill that I was constantly on the verge of tears when I am a silly easygoing girl who is extremely positive,It was the hard painful acne that left behind dark marks when they had run their course I
457,136,122,129,unexpected side effect,TriNessa,2,Not sexually active so I can t tell how it helps in pregnancy prevention It did stop spotting in between periods but it destroyed my skin Particularly along my jawline jawline acne is typically hormonal my skin broke out the entire duration of using Trinessa It was the hard painful acne that left behind dark marks when they had run their course I stayed on the pill for three months to make sure it was a the pill causing the acne and it was During the placebo pill week when you get your period my skin would clear up Until I had to start the pill again that is Beyond that my emotions were so out of whack on this pill that I was constantly on the verge of tears when I am a silly easygoing girl who is extremely positive,I was constantly on the verge of tears
458,137,0,3,made illness worse,Ortho Tri-Cyclen,2,Gave me cystic acne and it was so frustrating because it is suppose to help with acne I usually get one or 2 regular white heads that go away in like 2 days but this one gave me horrible acne that wouldn t completly heal in like 2 weeks If you want something that help if you re having this problem go on the patch Xulane it made my skin so nice and my boobs grew a full cup size lol no lie,Gave me cystic acne
459,137,34,48,bad effect,Ortho Tri-Cyclen,2,Gave me cystic acne and it was so frustrating because it is suppose to help with acne I usually get one or 2 regular white heads that go away in like 2 days but this one gave me horrible acne that wouldn t completly heal in like 2 weeks If you want something that help if you re having this problem go on the patch Xulane it made my skin so nice and my boobs grew a full cup size lol no lie,this one gave me horrible acne that wouldn t completly heal in like 2 weeks
460,138,18,28,worked originally,Yasmin,2,I had prescribed yasmin to help with cystic acne and hirtuism as I was told I had pcos It was great at first I lost about 4 5 lbs my skin started to clear no crazy initial breakout phew Mood improved sex drive improved I was travelling in Oz and eating rubbish but I literally started piling on the pounds I spent most of my time in Oz feeling bloated heavy and self concious After that I started to exercise and eat clean for weeks but could not loose a lb So I quit after 7 months on it Put on another 5 lbs After a long 3 months off yasmine and 7 weeks in between periods I started to loose weight Skin stayed clear with use of epiduo recommend 5 months off and my periods are back to normal and still loosing Wasn t worth it at all,It was great at first I lost about 4 5 lbs
